epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89641,2.57815,4.99903,2.02823,0.10615,0.07684,0.07527,0.0608,2.79893,5.58209,2.35227,2e-05,2e-05,2e-05
2,3.34836,2.48953,4.68076,1.93514,0.62391,0.22926,0.23472,0.20072,2.034,4.10611,2.0095,4.45545e-05,4.45545e-05,4.45545e-05
3,5.29229,1.76274,3.03054,1.58378,0.26042,0.37394,0.26731,0.22095,1.85663,8.19577,1.68613,6.8614e-05,6.8614e-05,6.8614e-05
4,7.11785,1.36702,1.7695,1.38779,0.55541,0.55062,0.52356,0.38199,1.15581,4.6915,1.21527,9.21785e-05,9.21785e-05,9.21785e-05
5,8.99959,1.17609,1.24006,1.24297,0.66044,0.71202,0.65278,0.47659,1.03341,3.97433,1.03179,0.000115248,0.000115248,0.000115248
6,10.8248,1.02409,1.01278,1.14468,0.53324,0.65489,0.63677,0.41913,1.33655,3.00444,1.04926,0.000137823,0.000137823,0.000137823
7,12.5707,0.99265,0.88183,1.10352,0.59717,0.65826,0.66976,0.51856,0.92905,2.34697,0.93456,0.000159902,0.000159902,0.000159902
8,14.3259,0.97179,0.82125,1.07529,0.8895,0.67881,0.6883,0.44917,1.41558,2.00692,1.0194,0.000181487,0.000181487,0.000181487
9,16.1194,0.93325,0.7733,1.05917,0.91995,0.68365,0.73054,0.5386,1.02726,1.17548,0.98535,0.000202576,0.000202576,0.000202576
10,17.932,0.92645,0.77668,1.0518,0.93918,0.71777,0.74615,0.54653,1.05593,1.13304,1.00034,0.000223171,0.000223171,0.000223171
11,19.6061,0.91785,0.73903,1.05047,0.94312,0.72441,0.75299,0.57271,1.00738,0.94281,0.98434,0.00024327,0.00024327,0.00024327
12,21.3956,0.87348,0.7245,1.0356,0.90723,0.74373,0.76008,0.60216,0.88742,0.76056,0.9811,0.000262874,0.000262874,0.000262874
13,23.1309,0.85412,0.71091,1.02797,0.90098,0.74646,0.7487,0.59962,0.86473,0.75693,0.98239,0.000281984,0.000281984,0.000281984
14,24.7108,0.8848,0.71549,1.02202,0.92476,0.73192,0.76374,0.61786,0.87808,0.71114,0.98229,0.000300598,0.000300598,0.000300598
15,26.318,0.82426,0.68508,1.01999,0.92068,0.73804,0.76544,0.60738,0.87487,0.67384,0.98892,0.000318718,0.000318718,0.000318718
16,27.9685,0.81876,0.70298,1.02157,0.94184,0.74162,0.77164,0.5952,0.96187,0.70126,0.99676,0.000336343,0.000336343,0.000336343
17,29.6377,0.81826,0.69069,1.00778,0.9348,0.74613,0.77112,0.59077,0.923,0.68084,0.9939,0.000353472,0.000353472,0.000353472
18,31.3007,0.81901,0.67608,1.00045,0.94109,0.75526,0.77541,0.60586,0.8764,0.64322,0.9801,0.000370106,0.000370106,0.000370106
19,32.9801,0.79411,0.66056,0.99647,0.92835,0.76337,0.77055,0.58551,0.95532,0.62741,0.98611,0.000386246,0.000386246,0.000386246
20,34.6437,0.79245,0.6435,0.99488,0.94306,0.76798,0.77882,0.61047,0.89759,0.61213,0.98269,0.000401891,0.000401891,0.000401891
21,36.2428,0.78424,0.656,0.98515,0.95961,0.76307,0.78513,0.6408,0.76407,0.56929,0.95155,0.000401,0.000401,0.000401
22,38.0425,0.79184,0.65945,0.98449,0.95198,0.77924,0.78836,0.62717,0.81095,0.57705,0.95094,0.00039605,0.00039605,0.00039605
23,39.6477,0.78956,0.64376,0.98406,0.96158,0.76966,0.78536,0.63791,0.75338,0.54987,0.94925,0.0003911,0.0003911,0.0003911
24,41.3174,0.77965,0.63535,0.97988,0.97389,0.77187,0.78246,0.65078,0.701,0.51829,0.94438,0.00038615,0.00038615,0.00038615
25,43.0949,0.78927,0.62665,0.97982,0.96451,0.77243,0.78061,0.61786,0.89339,0.55844,0.96688,0.0003812,0.0003812,0.0003812
26,44.7405,0.76684,0.61745,0.97288,0.95403,0.78582,0.78235,0.6409,0.76574,0.51629,0.95152,0.00037625,0.00037625,0.00037625
27,46.3888,0.74687,0.60108,0.96982,0.979,0.76453,0.78768,0.65198,0.73463,0.5059,0.94693,0.0003713,0.0003713,0.0003713
28,48.1586,0.78185,0.60343,0.98285,0.95947,0.77388,0.78858,0.6264,0.81555,0.53686,0.94314,0.00036635,0.00036635,0.00036635
29,49.8452,0.8157,0.60718,0.98107,0.95955,0.77288,0.79111,0.61,0.89,0.53785,0.94779,0.0003614,0.0003614,0.0003614
30,51.4554,0.80734,0.60897,0.99155,0.96159,0.77355,0.80362,0.63825,0.72695,0.51121,0.93956,0.00035645,0.00035645,0.00035645
31,53.0813,0.76914,0.58962,0.96942,0.96593,0.75137,0.80623,0.64961,0.73466,0.51782,0.93384,0.0003515,0.0003515,0.0003515
32,54.7639,0.7273,0.57856,0.959,0.96987,0.7801,0.8018,0.66686,0.67651,0.50006,0.93785,0.00034655,0.00034655,0.00034655
33,56.4047,0.73047,0.56838,0.97037,0.96602,0.78037,0.80347,0.68027,0.62149,0.46534,0.92598,0.0003416,0.0003416,0.0003416
34,58.0921,0.7305,0.57936,0.96293,0.76282,0.99402,0.98226,0.73764,0.67504,0.48241,0.92826,0.00033665,0.00033665,0.00033665
35,59.7506,0.72128,0.55773,0.96158,0.80523,0.99526,0.98083,0.73256,0.7381,0.48939,0.93012,0.0003317,0.0003317,0.0003317
36,61.3095,0.71995,0.55042,0.95135,0.97387,0.77436,0.98599,0.73318,0.63151,0.45564,0.93973,0.00032675,0.00032675,0.00032675
37,62.9284,0.74148,0.56753,0.96357,0.9706,0.7615,0.84993,0.6894,0.63788,0.47563,0.94054,0.0003218,0.0003218,0.0003218
38,64.4903,0.70361,0.54368,0.94981,0.96183,0.77538,0.80364,0.67066,0.64684,0.46479,0.93971,0.00031685,0.00031685,0.00031685
39,66.0653,0.6952,0.54148,0.94602,0.95749,0.76681,0.79941,0.67157,0.64662,0.48711,0.93483,0.0003119,0.0003119,0.0003119
40,67.7587,0.68044,0.55787,0.95282,0.76385,0.98272,0.80795,0.67461,0.64256,0.47478,0.93311,0.00030695,0.00030695,0.00030695
41,69.3554,0.68764,0.55208,0.93948,0.8527,0.96791,0.88048,0.699,0.66476,0.47717,0.93195,0.000302,0.000302,0.000302
42,71.0397,0.67874,0.53318,0.93968,0.8387,0.95098,0.88584,0.70625,0.61155,0.4612,0.92639,0.00029705,0.00029705,0.00029705
43,72.6375,0.67415,0.53387,0.94151,0.82375,0.96136,0.85071,0.69461,0.62682,0.49012,0.93477,0.0002921,0.0002921,0.0002921
44,74.2834,0.68338,0.53273,0.94188,0.8005,0.98928,0.83234,0.6842,0.6411,0.45084,0.93653,0.00028715,0.00028715,0.00028715
45,75.9241,0.69048,0.53242,0.94163,0.83138,0.98824,0.88092,0.68738,0.70454,0.44396,0.93127,0.0002822,0.0002822,0.0002822
46,77.6049,0.67584,0.51991,0.94409,0.89463,0.99402,0.98537,0.73562,0.62274,0.43933,0.91182,0.00027725,0.00027725,0.00027725
47,79.3209,0.70011,0.52918,0.9365,0.84712,0.9963,0.98465,0.74903,0.68525,0.4422,0.91619,0.0002723,0.0002723,0.0002723
48,81.0275,0.65893,0.52518,0.94177,0.83673,0.99239,0.98659,0.74644,0.70505,0.45569,0.92908,0.00026735,0.00026735,0.00026735
49,82.7198,0.67931,0.52615,0.94546,0.84191,0.99067,0.88613,0.69588,0.69499,0.45121,0.93015,0.0002624,0.0002624,0.0002624
50,84.4261,0.67834,0.51236,0.93748,0.87492,0.99051,0.98482,0.75687,0.64946,0.42698,0.91928,0.00025745,0.00025745,0.00025745
51,86.2185,0.68134,0.51921,0.93197,0.92264,0.98824,0.98443,0.7364,0.61893,0.43124,0.91931,0.0002525,0.0002525,0.0002525
52,87.8858,0.64628,0.50669,0.93609,0.91601,0.99488,0.98887,0.75301,0.63249,0.4373,0.92297,0.00024755,0.00024755,0.00024755
53,89.4707,0.67258,0.51756,0.94202,0.9265,0.99448,0.98748,0.73456,0.61719,0.42417,0.92008,0.0002426,0.0002426,0.0002426
54,91.0867,0.66747,0.51946,0.93231,0.88794,0.99279,0.98453,0.7033,0.65217,0.42997,0.92973,0.00023765,0.00023765,0.00023765
55,92.7426,0.69172,0.5192,0.93748,0.75708,0.99402,0.82131,0.67394,0.61785,0.43178,0.92175,0.0002327,0.0002327,0.0002327
56,94.4795,0.64208,0.50416,0.93365,0.7713,0.9963,0.82027,0.68609,0.63392,0.42218,0.91416,0.00022775,0.00022775,0.00022775
57,96.138,0.69491,0.51173,0.93404,0.83666,0.96956,0.88397,0.72288,0.5929,0.40851,0.91267,0.0002228,0.0002228,0.0002228
58,97.8633,0.66814,0.51294,0.93676,0.83362,0.99712,0.88688,0.69833,0.64532,0.42379,0.91368,0.00021785,0.00021785,0.00021785
59,99.5196,0.67514,0.50595,0.94025,0.84256,0.99753,0.8865,0.71242,0.5572,0.39967,0.90706,0.0002129,0.0002129,0.0002129
60,101.253,0.68611,0.51013,0.93506,0.8222,0.98877,0.85102,0.68314,0.67299,0.43992,0.90761,0.00020795,0.00020795,0.00020795
61,102.952,0.66896,0.50122,0.93127,0.86759,0.984,0.88494,0.70952,0.54651,0.40723,0.90624,0.000203,0.000203,0.000203
62,104.645,0.68566,0.5027,0.93725,0.86894,0.98928,0.88746,0.6648,0.74115,0.45062,0.92385,0.00019805,0.00019805,0.00019805
63,106.347,0.66777,0.49684,0.92982,0.86468,0.98887,0.88763,0.70574,0.57326,0.40686,0.90788,0.0001931,0.0001931,0.0001931
64,107.997,0.61683,0.48037,0.91824,0.90625,0.99402,0.98662,0.72266,0.57101,0.40567,0.9032,0.00018815,0.00018815,0.00018815
65,109.602,0.6309,0.48296,0.9263,0.90419,0.9963,0.98642,0.75275,0.52996,0.40318,0.9018,0.0001832,0.0001832,0.0001832
66,111.346,0.61151,0.46215,0.92201,0.9045,0.99753,0.98558,0.71048,0.64884,0.43033,0.91254,0.00017825,0.00017825,0.00017825
67,112.983,0.63446,0.48052,0.93293,0.84709,0.9963,0.88587,0.72363,0.55262,0.39468,0.90264,0.0001733,0.0001733,0.0001733
68,114.633,0.63934,0.47743,0.92953,0.81104,0.99402,0.85434,0.70352,0.59564,0.39414,0.90027,0.00016835,0.00016835,0.00016835
69,116.278,0.65184,0.48861,0.91757,0.82344,0.99512,0.85572,0.72163,0.52098,0.38282,0.89782,0.0001634,0.0001634,0.0001634
70,117.95,0.65192,0.48841,0.92604,0.85967,0.99525,0.89012,0.69469,0.65195,0.42377,0.91434,0.00015845,0.00015845,0.00015845
71,119.605,0.65182,0.48511,0.93131,0.85671,0.98736,0.89068,0.69989,0.59703,0.41206,0.91064,0.0001535,0.0001535,0.0001535
72,121.282,0.60828,0.46656,0.91157,0.79651,0.99402,0.83085,0.70966,0.56176,0.38941,0.89945,0.00014855,0.00014855,0.00014855
73,122.89,0.6251,0.47708,0.91776,0.79292,0.99402,0.82998,0.70353,0.56133,0.3894,0.89862,0.0001436,0.0001436,0.0001436
74,124.546,0.62727,0.48076,0.91796,0.80023,0.98954,0.83032,0.70289,0.56033,0.39028,0.9015,0.00013865,0.00013865,0.00013865
75,126.22,0.62527,0.46939,0.92412,0.80443,0.98511,0.83014,0.70291,0.55276,0.39348,0.90249,0.0001337,0.0001337,0.0001337
76,127.913,0.60054,0.46752,0.92407,0.79483,0.99279,0.82241,0.71243,0.51001,0.37885,0.89547,0.00012875,0.00012875,0.00012875
77,129.563,0.60758,0.45522,0.91622,0.7976,0.99279,0.82227,0.70955,0.50019,0.37816,0.89375,0.0001238,0.0001238,0.0001238
78,131.231,0.61119,0.46941,0.92941,0.79535,0.99279,0.8291,0.71036,0.51589,0.38085,0.89518,0.00011885,0.00011885,0.00011885
79,132.886,0.5861,0.46009,0.9153,0.80161,0.99279,0.82836,0.70046,0.54328,0.38759,0.89755,0.0001139,0.0001139,0.0001139
80,134.472,0.58046,0.45837,0.91464,0.80007,0.99469,0.8291,0.70679,0.52348,0.38234,0.89913,0.00010895,0.00010895,0.00010895
81,136.082,0.5885,0.45271,0.91319,0.8514,0.99423,0.89008,0.70409,0.59613,0.40435,0.90844,0.000104,0.000104,0.000104
82,137.724,0.6362,0.46307,0.93118,0.85603,0.99478,0.88969,0.71208,0.58151,0.40472,0.90362,9.905e-05,9.905e-05,9.905e-05
83,139.305,0.59996,0.45824,0.91696,0.85344,0.99586,0.88876,0.71912,0.53131,0.38528,0.89847,9.41e-05,9.41e-05,9.41e-05
84,140.997,0.57625,0.44973,0.91508,0.80996,0.99693,0.85499,0.71285,0.51631,0.37204,0.89533,8.915e-05,8.915e-05,8.915e-05
85,142.664,0.58635,0.45147,0.90827,0.81075,0.99643,0.83849,0.71488,0.49455,0.36712,0.89444,8.42e-05,8.42e-05,8.42e-05
86,144.343,0.59965,0.4551,0.92298,0.81328,0.99724,0.83869,0.71824,0.48393,0.36606,0.89341,7.925e-05,7.925e-05,7.925e-05
87,145.995,0.56901,0.44339,0.91174,0.81023,0.99728,0.839,0.71718,0.48736,0.36457,0.8922,7.43e-05,7.43e-05,7.43e-05
88,147.627,0.5797,0.44372,0.91298,0.7953,0.9963,0.83867,0.71501,0.49257,0.3593,0.88917,6.935e-05,6.935e-05,6.935e-05
89,149.169,0.59468,0.4435,0.90646,0.79458,0.9963,0.83894,0.72177,0.47714,0.35744,0.8878,6.44e-05,6.44e-05,6.44e-05
90,150.877,0.5726,0.4416,0.90909,0.79225,0.9963,0.82934,0.7201,0.49192,0.36585,0.8893,5.945e-05,5.945e-05,5.945e-05
